| network_model                | GuideDepth                                                |
| pretrained                   | True                                                      |
| message                      | KITTI 600/400 dataset - RGB input - KITTI_Full_Pretrained |
| mode                         | train                                                     |
| dataset                      | nn                                                        |
| workers                      | 4                                                         |
| epochs                       | 100                                                       |
| criterion                    | l2                                                        |
| batch_size                   | 8                                                         |
| learning_rate                | 0.0001                                                    |
| weight_decay                 | 0                                                         |
| print_freq                   | 10                                                        |
| resume                       |                                                           |
| data_folder                  | /datasets                                                 |
| convolutional_layer_encoding | xyz                                                       |
| dilation_rate                | 2                                                         |
| val_h                        | 352                                                       |
| val_w                        | 608                                                       |
| train_height                 | 352                                                       |
| train_width                  | 608                                                       |
| min_depth_eval               | 0.1                                                       |
| max_depth_eval               | 80.0                                                      |
| kitti_crop                   | eigen_crop                                                |
| train_datalist               | train_dim_kitti.list                                      |
| val_datalist                 | val_dim_kitti.list                                        |
| root_folder                  | data/kitti_dataset/val_selection_cropped/                 |
| torch_mode                   | pytorch                                                   |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth                         |
| wandblogger                  | True                                                      |
| project                      | depthcompletionpaper                                      |
| entity                       | wandbdimar                                                |
| wandbrunname                 | KITTI-RGB-KITTI_FULL_Pretrained-5                         |
Scheduler settings: {'milestones': Counter({30: 1, 50: 1, 75: 1, 90: 1}), 'gamma': 0.1, 'base_lrs': [0.0001], 'last_epoch': 0, '_step_count': 1, 'verbose': False, '_get_lr_called_within_step': False, '_last_lr': [0.0001]}

New model saved: weights/2022_06_30-01_27_28_PM/GuideDepth_1.pth 
| d1       | 0.919347  |
| d2       | 0.983811  |
| d3       | 0.995083  |
| abs_rel  | 0.0927603 |
| sq_rel   | 0.465735  |
| rmse     | 3.47274   |
| rmse_log | 0.132942  |
| log10    | 0.0385682 |
| silog    | 0.12934   |

New model saved: weights/2022_06_30-01_27_28_PM/GuideDepth_2.pth 
| d1       | 0.936308  |
| d2       | 0.987261  |
| d3       | 0.996736  |
| abs_rel  | 0.079726  |
| sq_rel   | 0.377014  |
| rmse     | 3.20676   |
| rmse_log | 0.118468  |
| log10    | 0.0334785 |
| silog    | 0.116307  |

New model saved: weights/2022_06_30-01_27_28_PM/GuideDepth_4.pth 
| d1       | 0.950887  |
| d2       | 0.990873  |
| d3       | 0.997636  |
| abs_rel  | 0.0703802 |
| sq_rel   | 0.310942  |
| rmse     | 2.93285   |
| rmse_log | 0.10653   |
| log10    | 0.0295875 |
| silog    | 0.10449   |

New model saved: weights/2022_06_30-01_27_28_PM/GuideDepth_6.pth 
| d1       | 0.957358  |
| d2       | 0.992661  |
| d3       | 0.998311  |
| abs_rel  | 0.0644645 |
| sq_rel   | 0.260821  |
| rmse     | 2.78375   |
| rmse_log | 0.0991357 |
| log10    | 0.0275023 |
| silog    | 0.0972591 |

New model saved: weights/2022_06_30-01_27_28_PM/GuideDepth_8.pth 
| d1       | 0.961316  |
| d2       | 0.993116  |
| d3       | 0.998329  |
| abs_rel  | 0.0613994 |
| sq_rel   | 0.24361   |
| rmse     | 2.65746   |
| rmse_log | 0.0948252 |
| log10    | 0.0259501 |
| silog    | 0.0928185 |

New model saved: weights/2022_06_30-01_27_28_PM/GuideDepth_9.pth 
| d1       | 0.962517  |
| d2       | 0.993109  |
| d3       | 0.998261  |
| abs_rel  | 0.0612177 |
| sq_rel   | 0.250826  |
| rmse     | 2.56926   |
| rmse_log | 0.0941127 |
