| network_model                | SparseGuidedDepth                                   |
| pretrained                   | False                                               |
| message                      | KITTI 600/400 dataset - D input - encoderpretrained |
| mode                         | train                                               |
| dataset                      | nn                                                  |
| workers                      | 4                                                   |
| epochs                       | 100                                                 |
| criterion                    | l2                                                  |
| batch_size                   | 8                                                   |
| learning_rate                | 0.0001                                              |
| weight_decay                 | 0                                                   |
| print_freq                   | 10                                                  |
| resume                       |                                                     |
| data_folder                  | /datasets                                           |
| convolutional_layer_encoding | xyz                                                 |
| dilation_rate                | 2                                                   |
| val_h                        | 352                                                 |
| val_w                        | 608                                                 |
| train_height                 | 352                                                 |
| train_width                  | 608                                                 |
| min_depth_eval               | 0.1                                                 |
| max_depth_eval               | 80.0                                                |
| kitti_crop                   | eigen_crop                                          |
| train_datalist               | train_dim_kitti.list                                |
| val_datalist                 | val_dim_kitti.list                                  |
| root_folder                  | data/kitti_dataset/val_selection_cropped/           |
| torch_mode                   | pytorch                                             |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth                   |
| wandblogger                  | True                                                |
| project                      | depthcompletionpaper                                |
| entity                       | wandbdimar                                          |
| wandbrunname                 | KITTI-D-encoderpretrained-7                         |
Scheduler settings: {'milestones': Counter({30: 1, 50: 1, 75: 1, 90: 1}), 'gamma': 0.1, 'base_lrs': [0.0001], 'last_epoch': 0, '_step_count': 1, 'verbose': False, '_get_lr_called_within_step': False, '_last_lr': [0.0001]}

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_1.pth 
| d1       |  0.112549 |
| d2       |  0.249352 |
| d3       |  0.40889  |
| abs_rel  |  1.34851  |
| sq_rel   | 26.0564   |
| rmse     | 17.5001   |
| rmse_log |  1.01005  |
| log10    |  0.358628 |
| silog    |  0.886749 |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_2.pth 
| d1       | 0.267782 |
| d2       | 0.505616 |
| d3       | 0.71733  |
| abs_rel  | 0.695738 |
| sq_rel   | 7.4539   |
| rmse     | 9.6174   |
| rmse_log | 0.634234 |
| log10    | 0.21397  |
| silog    | 0.55594  |

New model saved: weights/2022_06_30-01_34_31_PM/SparseGuidedDepth_3.pth 
| d1       | 0.363304 |
