| network_model                | AuxGuideDepth                              |
| pretrained                   | False                                      |
| message                      | NN 600/400 - RGB input - encoderpretrained |
| mode                         | train                                      |
| dataset                      | nn                                         |
| workers                      | 4                                          |
| epochs                       | 100                                        |
| criterion                    | l2                                         |
| batch_size                   | 8                                          |
| learning_rate                | 0.0001                                     |
| weight_decay                 | 0                                          |
| print_freq                   | 10                                         |
| resume                       |                                            |
| data_folder                  | /datasets                                  |
| convolutional_layer_encoding | xyz                                        |
| dilation_rate                | 2                                          |
| val_h                        | 352                                        |
| val_w                        | 608                                        |
| train_height                 | 352                                        |
| train_width                  | 608                                        |
| min_depth_eval               | 0.1                                        |
| max_depth_eval               | 80.0                                       |
| kitti_crop                   | eigen_crop                                 |
| train_datalist               | datalist_train_nn.list                     |
| val_datalist                 | datalist_test_nn.list                      |
| root_folder                  | data/nn_dataset/                           |
| torch_mode                   | pytorch                                    |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth          |
| wandblogger                  | True                                       |
| project                      | depthcompletionpaper                       |
| entity                       | wandbdimar                                 |
| wandbrunname                 | TestingAuxDepthguide                       |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_1.pth 
| d1       |   0.142718 |
| d2       |   0.396389 |
| d3       |   0.507782 |
| abs_rel  |  16.0108   |
| sq_rel   | 780.816    |
| rmse     |  25.1291   |
| rmse_log |   2.12589  |
| log10    |   0.649713 |
| silog    |   1.99855  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_3.pth 
| d1       |   8.66035e-05 |
| d2       |   0.000574405 |
| d3       |   0.00229076  |
| abs_rel  |  21.5545      |
| sq_rel   | 398.802       |
| rmse     |  18.1236      |
| rmse_log |   2.97854     |
| log10    |   1.28173     |
| silog    |   2.12528     |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_4.pth 
| d1       |   0.000865556 |
| d2       |   0.00274554  |
| d3       |   0.0045459   |
| abs_rel  |  15.2163      |
| sq_rel   | 198.286       |
| rmse     |  12.6726      |
| rmse_log |   2.65108     |
| log10    |   1.1389      |
| silog    |   1.89446     |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_5.pth 
| d1       |   0.00208186 |
| d2       |   0.00371268 |
| d3       |   0.00615898 |
| abs_rel  |  12.5433     |
