| network_model                | AuxGuideDepth                     |
| pretrained                   | True                              |
| message                      | zzzzz                             |
| mode                         | train                             |
| dataset                      | nn                                |
| workers                      | 4                                 |
| epochs                       | 100                               |
| criterion                    | l2                                |
| batch_size                   | 8                                 |
| learning_rate                | 0.0001                            |
| weight_decay                 | 0                                 |
| print_freq                   | 10                                |
| resume                       |                                   |
| data_folder                  | /datasets                         |
| convolutional_layer_encoding | xyz                               |
| dilation_rate                | 2                                 |
| val_h                        | 352                               |
| val_w                        | 608                               |
| train_height                 | 352                               |
| train_width                  | 608                               |
| min_depth_eval               | 0.1                               |
| max_depth_eval               | 80.0                              |
| kitti_crop                   | eigen_crop                        |
| train_datalist               | datalist_train_nn.list            |
| val_datalist                 | datalist_test_nn.list             |
| root_folder                  | data/nn_dataset/                  |
| torch_mode                   | pytorch                           |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth |
| wandblogger                  | True                              |
| project                      | depthcompletionpaper              |
| entity                       | wandbdimar                        |
| wandbrunname                 | frozenencoder_again_for_sanity    |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_1.pth 
| d1       |  0.00453094 |
| d2       |  0.0108688  |
| d3       |  0.0180628  |
| abs_rel  |  6.32416    |
| sq_rel   | 34.8427     |
| rmse     |  5.28675    |
| rmse_log |  1.88392    |
| log10    |  0.805139   |
| silog    |  1.35399    |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_2.pth 
| d1       |  0.00687606 |
| d2       |  0.0155125  |
| d3       |  0.0386252  |
| abs_rel  |  4.87098    |
| sq_rel   | 20.7123     |
| rmse     |  3.97668    |
| rmse_log |  1.66014    |
| log10    |  0.706883   |
| silog    |  1.19828    |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_3.pth 
| d1       |  0.00838895 |
| d2       |  0.0231392  |
| d3       |  0.0560377  |
| abs_rel  |  4.04925    |
| sq_rel   | 14.4032     |
| rmse     |  3.27557    |
| rmse_log |  1.51185    |
| log10    |  0.641975   |
| silog    |  1.0942     |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_4.pth 
| d1       |  0.0112999 |
| d2       |  0.0340824 |
| d3       |  0.0831312 |
| abs_rel  |  3.55288   |
| sq_rel   | 11.1947    |
| rmse     |  2.84299   |
| rmse_log |  1.40817   |
| log10    |  0.596169  |
| silog    |  1.02228   |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_5.pth 
| d1       | 0.0144431 |
| d2       | 0.0445257 |
| d3       | 0.126069  |
| abs_rel  | 3.17312   |
| sq_rel   | 9.01388   |
| rmse     | 2.52687   |
| rmse_log | 1.32291   |
| log10    | 0.5586    |
| silog    | 0.96307   |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_6.pth 
| d1       | 0.0182646 |
| d2       | 0.0566317 |
| d3       | 0.163197  |
| abs_rel  | 2.8698    |
| sq_rel   | 7.43622   |
| rmse     | 2.27771   |
| rmse_log | 1.24961   |
| log10    | 0.52639   |
| silog    | 0.911951  |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_7.pth 
| d1       | 0.0221408 |
| d2       | 0.0745946 |
| d3       | 0.190584  |
| abs_rel  | 2.62448   |
| sq_rel   | 6.27991   |
| rmse     | 2.07918   |
| rmse_log | 1.18609   |
| log10    | 0.498476  |
| silog    | 0.867723  |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_8.pth 
| d1       | 0.0263212 |
| d2       | 0.100495  |
| d3       | 0.214519  |
| abs_rel  | 2.42641   |
| sq_rel   | 5.42322   |
| rmse     | 1.92174   |
| rmse_log | 1.13186   |
| log10    | 0.474635  |
| silog    | 0.829904  |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_9.pth 
| d1       | 0.0306195 |
| d2       | 0.127317  |
| d3       | 0.236375  |
| abs_rel  | 2.25614   |
| sq_rel   | 4.73584   |
| rmse     | 1.78798   |
| rmse_log | 1.08307   |
| log10    | 0.453182  |
| silog    | 0.795948  |

New model saved: weights/2022_06_30-06_16_20_PM/AuxGuideDepth_10.pth 
| d1       | 0.035827 |
| d2       | 0.148086 |
| d3       | 0.25716  |
