| network_model                | SparseAndRGBGuidedDepth                              |
| pretrained                   | False                                                |
| message                      | NN 500/100 dataset - RGBD input - encoder_pretrained |
| mode                         | train                                                |
| dataset                      | nn                                                   |
| workers                      | 4                                                    |
| epochs                       | 100                                                  |
| criterion                    | l2                                                   |
| batch_size                   | 8                                                    |
| learning_rate                | 0.0001                                               |
| weight_decay                 | 0                                                    |
| print_freq                   | 10                                                   |
| resume                       |                                                      |
| data_folder                  | /datasets                                            |
| convolutional_layer_encoding | xyz                                                  |
| dilation_rate                | 2                                                    |
| val_h                        | 352                                                  |
| val_w                        | 608                                                  |
| train_height                 | 352                                                  |
| train_width                  | 608                                                  |
| min_depth_eval               | 0.1                                                  |
| max_depth_eval               | 80.0                                                 |
| kitti_crop                   | eigen_crop                                           |
| train_datalist               | datalist_train_nn.list                               |
| val_datalist                 | datalist_test_nn.list                                |
| root_folder                  | data/nn_dataset/                                     |
| torch_mode                   | pytorch                                              |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth                    |
| wandblogger                  | True                                                 |
| project                      | depthcompletionpaper                                 |
| entity                       | wandbdimar                                           |
| wandbrunname                 | NN-RGBD-encoderpretrained-2                          |
Scheduler settings: {'milestones': Counter({30: 1, 50: 1, 75: 1, 90: 1}), 'gamma': 0.1, 'base_lrs': [0.0001], 'last_epoch': 0, '_step_count': 1, 'verbose': False, '_get_lr_called_within_step': False, '_last_lr': [0.0001]}

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_1.pth 
| d1       |    0.102605 |
| d2       |    0.149274 |
| d3       |    0.176051 |
| abs_rel  |   42.5363   |
| sq_rel   | 2155.95     |
| rmse     |   42.845    |
| rmse_log |    3.36299  |
| log10    |    1.32348  |
| silog    |    2.63184  |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_2.pth 
| d1       |    2.37446e-05 |
| d2       |    5.22832e-05 |
| d3       |    0.00025325  |
| abs_rel  |   35.5015      |
| sq_rel   | 1107.52        |
| rmse     |   30.1126      |
| rmse_log |    3.44061     |
| log10    |    1.48354     |
| silog    |    2.45253     |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_3.pth 
| d1       |   0.000122065 |
| d2       |   0.000647853 |
| d3       |   0.00247074  |
| abs_rel  |  21.2976      |
| sq_rel   | 388.786       |
| rmse     |  17.7743      |
| rmse_log |   2.96278     |
| log10    |   1.27433     |
| silog    |   2.1149      |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_4.pth 
| d1       |   0.000484131 |
| d2       |   0.00244576  |
| d3       |   0.00405686  |
| abs_rel  |  16.173       |
| sq_rel   | 223.824       |
| rmse     |  13.4162      |
| rmse_log |   2.70562     |
| log10    |   1.16216     |
| silog    |   1.93369     |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_5.pth 
| d1       |   0.00150369 |
| d2       |   0.00338172 |
| d3       |   0.00567599 |
| abs_rel  |  13.7542     |
| sq_rel   | 161.946      |
| rmse     |  11.3717     |
| rmse_log |   2.55667    |
| log10    |   1.09674    |
| silog    |   1.8295     |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_6.pth 
| d1       |   0.00257528 |
| d2       |   0.00428352 |
| d3       |   0.00710821 |
| abs_rel  |  12.0849     |
| sq_rel   | 125.097      |
| rmse     |   9.9606     |
| rmse_log |   2.43876    |
| log10    |   1.04494    |
| silog    |   1.74707    |

New model saved: weights/2022_06_30-11_13_03_AM/SparseAndRGBGuidedDepth_7.pth 
| d1       |   0.0030246  |
| d2       |   0.0053553  |
| d3       |   0.00897106 |
| abs_rel  |  10.8353     |
| sq_rel   | 100.691      |
| rmse     |   8.90427    |
| rmse_log |   2.34008    |
| log10    |   1.0016     |
| silog    |   1.67812    |

