| network_model                | GuideDepth                                             |
| pretrained                   | True                                                   |
| message                      | NN 500/100 dataset - RGB input - KITTI_Full_Pretrained |
| mode                         | train                                                  |
| dataset                      | nn                                                     |
| workers                      | 4                                                      |
| epochs                       | 100                                                    |
| criterion                    | l2                                                     |
| batch_size                   | 8                                                      |
| learning_rate                | 0.0001                                                 |
| weight_decay                 | 0                                                      |
| print_freq                   | 10                                                     |
| resume                       |                                                        |
| data_folder                  | /datasets                                              |
| convolutional_layer_encoding | xyz                                                    |
| dilation_rate                | 2                                                      |
| val_h                        | 352                                                    |
| val_w                        | 608                                                    |
| train_height                 | 352                                                    |
| train_width                  | 608                                                    |
| min_depth_eval               | 0.1                                                    |
| max_depth_eval               | 80.0                                                   |
| kitti_crop                   | eigen_crop                                             |
| train_datalist               | datalist_train_nn.list                                 |
| val_datalist                 | datalist_test_nn.list                                  |
| root_folder                  | data/nn_dataset/                                       |
| torch_mode                   | pytorch                                                |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth                      |
| wandblogger                  | True                                                   |
| project                      | depthcompletionpaper                                   |
| entity                       | wandbdimar                                             |
| wandbrunname                 | NN-RGB-KITTI_Full_Pretrained-5                         |
Scheduler settings: {'milestones': Counter({30: 1, 50: 1, 75: 1, 90: 1}), 'gamma': 0.1, 'base_lrs': [0.0001], 'last_epoch': 0, '_step_count': 1, 'verbose': False, '_get_lr_called_within_step': False, '_last_lr': [0.0001]}

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_1.pth 
| d1       |  0.00453658 |
| d2       |  0.0108723  |
| d3       |  0.0180621  |
| abs_rel  |  6.32434    |
| sq_rel   | 34.8465     |
| rmse     |  5.28718    |
| rmse_log |  1.88396    |
| log10    |  0.805155   |
| silog    |  1.35402    |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_2.pth 
| d1       |  0.00688548 |
| d2       |  0.0155311  |
| d3       |  0.0386479  |
| abs_rel  |  4.87099    |
| sq_rel   | 20.7127     |
| rmse     |  3.9765     |
| rmse_log |  1.66012    |
| log10    |  0.706868   |
| silog    |  1.19828    |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_3.pth 
| d1       |  0.00838821 |
| d2       |  0.0231483  |
| d3       |  0.0560767  |
| abs_rel  |  4.04902    |
| sq_rel   | 14.4019     |
| rmse     |  3.27547    |
| rmse_log |  1.51181    |
| log10    |  0.641957   |
| silog    |  1.09418    |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_4.pth 
| d1       |  0.0112809 |
| d2       |  0.0341321 |
| d3       |  0.0832104 |
| abs_rel  |  3.55272   |
| sq_rel   | 11.1937    |
| rmse     |  2.84294   |
| rmse_log |  1.40816   |
| log10    |  0.59616   |
| silog    |  1.02228   |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_5.pth 
| d1       | 0.0144233 |
| d2       | 0.0445241 |
| d3       | 0.126037  |
| abs_rel  | 3.17323   |
| sq_rel   | 9.01419   |
| rmse     | 2.52714   |
| rmse_log | 1.32296   |
| log10    | 0.558623  |
| silog    | 0.963093  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_6.pth 
| d1       | 0.0182647 |
| d2       | 0.0566603 |
| d3       | 0.16315   |
| abs_rel  | 2.8697    |
| sq_rel   | 7.43502   |
| rmse     | 2.2778    |
| rmse_log | 1.24964   |
| log10    | 0.526403  |
| silog    | 0.911972  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_7.pth 
| d1       | 0.0221738 |
| d2       | 0.0746977 |
| d3       | 0.190607  |
| abs_rel  | 2.62388   |
| sq_rel   | 6.27658   |
| rmse     | 2.07884   |
| rmse_log | 1.18599   |
| log10    | 0.498428  |
| silog    | 0.867659  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_8.pth 
| d1       | 0.026272 |
| d2       | 0.100318 |
| d3       | 0.214333 |
| abs_rel  | 2.42785  |
| sq_rel   | 5.42971  |
| rmse     | 1.92312  |
| rmse_log | 1.13228  |
| log10    | 0.474816 |
| silog    | 0.830212 |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_9.pth 
| d1       | 0.0307313 |
| d2       | 0.127614  |
| d3       | 0.236586  |
| abs_rel  | 2.25424   |
| sq_rel   | 4.72815   |
| rmse     | 1.78636   |
| rmse_log | 1.08249   |
| log10    | 0.45293   |
| silog    | 0.795552  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_10.pth 
| d1       | 0.0359956 |
| d2       | 0.14797   |
| d3       | 0.256596  |
| abs_rel  | 2.11339   |
| sq_rel   | 4.19527   |
| rmse     | 1.67724   |
| rmse_log | 1.04049   |
| log10    | 0.434463  |
| silog    | 0.766333  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_11.pth 
| d1       | 0.0419316 |
| d2       | 0.165779  |
| d3       | 0.285169  |
| abs_rel  | 1.98662   |
| sq_rel   | 3.74692   |
| rmse     | 1.57947   |
| rmse_log | 1.00063   |
| log10    | 0.416956  |
| silog    | 0.738651  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_12.pth 
| d1       | 0.0515842 |
| d2       | 0.1817    |
| d3       | 0.314719  |
| abs_rel  | 1.87558   |
| sq_rel   | 3.37804   |
| rmse     | 1.4931    |
| rmse_log | 0.964266  |
| log10    | 0.400922  |
| silog    | 0.713477  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_13.pth 
| d1       | 0.0615764 |
| d2       | 0.197215  |
| d3       | 0.345127  |
| abs_rel  | 1.77689   |
| sq_rel   | 3.05713   |
| rmse     | 1.41715   |
| rmse_log | 0.93156   |
| log10    | 0.386599  |
| silog    | 0.691017  |

New model saved: weights/2022_06_30-11_39_46_AM/GuideDepth_14.pth 
| d1       | 0.074262 |
| d2       | 0.210778 |
| d3       | 0.380149 |
| abs_rel  | 1.69448  |
