| network_model                | SparseGuidedDepth                        |
| pretrained                   | False                                    |
| message                      | NN 500/100 dataset - D input - untrained |
| mode                         | train                                    |
| dataset                      | nn                                       |
| workers                      | 4                                        |
| epochs                       | 100                                      |
| criterion                    | l2                                       |
| batch_size                   | 8                                        |
| learning_rate                | 0.0001                                   |
| weight_decay                 | 0                                        |
| print_freq                   | 10                                       |
| resume                       |                                          |
| data_folder                  | /datasets                                |
| convolutional_layer_encoding | xyz                                      |
| dilation_rate                | 2                                        |
| val_h                        | 352                                      |
| val_w                        | 608                                      |
| train_height                 | 352                                      |
| train_width                  | 608                                      |
| min_depth_eval               | 0.1                                      |
| max_depth_eval               | 80.0                                     |
| kitti_crop                   | eigen_crop                               |
| train_datalist               | datalist_train_nn.list                   |
| val_datalist                 | datalist_test_nn.list                    |
| root_folder                  | data/nn_dataset/                         |
| torch_mode                   | pytorch                                  |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth        |
| wandblogger                  | True                                     |
| project                      | depthcompletionpaper                     |
| entity                       | wandbdimar                               |
| wandbrunname                 | NN-D-untrained-6                         |
Scheduler settings: {'milestones': Counter({30: 1, 50: 1, 75: 1, 90: 1}), 'gamma': 0.1, 'base_lrs': [0.0001], 'last_epoch': 0, '_step_count': 1, 'verbose': False, '_get_lr_called_within_step': False, '_last_lr': [0.0001]}

New model saved: weights/2022_06_30-11_47_38_AM/SparseGuidedDepth_1.pth 
| d1       |    0.136464 |
| d2       |    0.320242 |
| d3       |    0.399316 |
| abs_rel  |   23.4623   |
| sq_rel   | 1104.56     |
| rmse     |   30.7193   |
| rmse_log |    2.57888  |
| log10    |    0.866442 |
| silog    |    2.27429  |

New model saved: weights/2022_06_30-11_47_38_AM/SparseGuidedDepth_2.pth 
| d1       |   0.00474069 |
| d2       |   0.0116345  |
| d3       |   0.0156884  |
| abs_rel  |  30.4703     |
| sq_rel   | 844.111      |
| rmse     |  26.5312     |
| rmse_log |   3.2874     |
| log10    |   1.40453    |
| silog    |   2.37264    |

New model saved: weights/2022_06_30-11_47_38_AM/SparseGuidedDepth_3.pth 
| d1       |   0.000568208 |
| d2       |   0.00152282  |
| d3       |   0.00271415  |
| abs_rel  |  21.09        |
| sq_rel   | 397.152       |
| rmse     |  17.9925      |
| rmse_log |   2.94634     |
| log10    |   1.26623     |
| silog    |   2.10814     |

New model saved: weights/2022_06_30-11_47_38_AM/SparseGuidedDepth_4.pth 
| d1       |   0.00135511 |
| d2       |   0.00267815 |
| d3       |   0.00443025 |
| abs_rel  |  16.9454     |
| sq_rel   | 261.672      |
| rmse     |  14.6504     |
| rmse_log |   2.74043    |
| log10    |   1.17568    |
| silog    |   1.96502    |

