| network_model                | SparseAndRGBGuidedDepth                     |
| pretrained                   | False                                       |
| message                      | NN 500/100 dataset - RGBD input - untrained |
| mode                         | train                                       |
| dataset                      | nn                                          |
| workers                      | 4                                           |
| epochs                       | 100                                         |
| criterion                    | l2                                          |
| batch_size                   | 8                                           |
| learning_rate                | 0.0001                                      |
| weight_decay                 | 0                                           |
| print_freq                   | 10                                          |
| resume                       |                                             |
| data_folder                  | /datasets                                   |
| convolutional_layer_encoding | xyz                                         |
| dilation_rate                | 2                                           |
| val_h                        | 352                                         |
| val_w                        | 608                                         |
| train_height                 | 352                                         |
| train_width                  | 608                                         |
| min_depth_eval               | 0.1                                         |
| max_depth_eval               | 80.0                                        |
| kitti_crop                   | eigen_crop                                  |
| train_datalist               | datalist_train_nn.list                      |
| val_datalist                 | datalist_test_nn.list                       |
| root_folder                  | data/nn_dataset/                            |
| torch_mode                   | pytorch                                     |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth           |
| wandblogger                  | True                                        |
| project                      | depthcompletionpaper                        |
| entity                       | wandbdimar                                  |
| wandbrunname                 | NN-RGBD-untrained-1                         |
Scheduler settings: {'milestones': Counter({30: 1, 50: 1, 75: 1, 90: 1}), 'gamma': 0.1, 'base_lrs': [0.0001], 'last_epoch': 0, '_step_count': 1, 'verbose': False, '_get_lr_called_within_step': False, '_last_lr': [0.0001]}

New model saved: weights/2022_06_30-12_21_18_PM/SparseAndRGBGuidedDepth_1.pth 
| d1       |   0.0154241 |
| d2       |   0.0331975 |
| d3       |   0.0662456 |
| abs_rel  |  14.1574    |
| sq_rel   | 584.466     |
| rmse     |  34.8466    |
| rmse_log |   2.57975   |
| log10    |   1.0619    |
| silog    |   2.16121   |

New model saved: weights/2022_06_30-12_21_18_PM/SparseAndRGBGuidedDepth_2.pth 
| d1       |   0.00196738 |
| d2       |   0.003651   |
| d3       |   0.00615936 |
| abs_rel  |  12.0797     |
| sq_rel   | 337.763      |
| rmse     |  25.9009     |
| rmse_log |   2.44122    |
| log10    |   1.04313    |
| silog    |   1.79101    |

New model saved: weights/2022_06_30-12_21_18_PM/SparseAndRGBGuidedDepth_3.pth 
| d1       |   0.00430288 |
| d2       |   0.00947855 |
| d3       |   0.0185322  |
| abs_rel  |   7.71124    |
| sq_rel   | 135.966      |
| rmse     |  16.2927     |
| rmse_log |   2.0344     |
| log10    |   0.865879   |
| silog    |   1.4688     |

New model saved: weights/2022_06_30-12_21_18_PM/SparseAndRGBGuidedDepth_4.pth 
| d1       |  0.00524005 |
| d2       |  0.0139202  |
| d3       |  0.0340005  |
| abs_rel  |  6.01429    |
| sq_rel   | 83.24       |
| rmse     | 12.6694     |
| rmse_log |  1.82587    |
| log10    |  0.774424   |
| silog    |  1.32196    |

New model saved: weights/2022_06_30-12_21_18_PM/SparseAndRGBGuidedDepth_5.pth 
| d1       |  0.00681732 |
| d2       |  0.0227331  |
| d3       |  0.0448825  |
| abs_rel  |  5.20525    |
| sq_rel   | 66.9574     |
| rmse     | 11.4536     |
| rmse_log |  1.70691    |
| log10    |  0.719904   |
| silog    |  1.24391    |

New model saved: weights/2022_06_30-12_21_18_PM/SparseAndRGBGuidedDepth_6.pth 
| d1       |  0.0118127 |
| d2       |  0.0326794 |
| d3       |  0.066098  |
| abs_rel  |  4.44306   |
| sq_rel   | 50.1657    |
| rmse     |  9.88771   |
| rmse_log |  1.58041   |
| log10    |  0.663692  |
| silog    |  1.15743   |

