| network_model                | AuxSparseGuidedDepth                      |
| pretrained                   | True                                      |
| message                      | Further Overfiting basemodel on kitti4    |
| mode                         | train                                     |
| dataset                      | kitti                                     |
| workers                      | 4                                         |
| epochs                       | 100                                       |
| criterion                    | l2                                        |
| batch_size                   | 4                                         |
| learning_rate                | 1e-05                                     |
| weight_decay                 | 0                                         |
| print_freq                   | 10                                        |
| resume                       |                                           |
| data_folder                  | /datasets                                 |
| convolutional_layer_encoding | xyz                                       |
| dilation_rate                | 2                                         |
| val_h                        | 352                                       |
| val_w                        | 608                                       |
| train_height                 | 352                                       |
| train_width                  | 608                                       |
| min_depth_eval               | 0.1                                       |
| max_depth_eval               | 80.0                                      |
| kitti_crop                   | eigen_crop                                |
| train_datalist               | 4batch_dim_kitti.list                     |
| val_datalist                 | 4batch_dim_kitti.list                     |
| root_folder                  | data/kitti_dataset/val_selection_cropped/ |
| torch_mode                   | pytorch                                   |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth         |
| wandblogger                  | True                                      |
| project                      | depthcompletionpaper                      |
| entity                       | wandbdimar                                |
| wandbrunname                 | KITTI_4_basemodel_overfit_additional      |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_1.pth 
| d1       | 0.99729   |
| d2       | 0.999916  |
| d3       | 0.999994  |
| abs_rel  | 0.0239731 |
| sq_rel   | 0.0391047 |
| rmse     | 1.15709   |
| rmse_log | 0.0369159 |
| log10    | 0.0103904 |
| silog    | 0.0368042 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_2.pth 
| d1       | 0.997248  |
| d2       | 0.999937  |
| d3       | 0.999994  |
| abs_rel  | 0.0236155 |
| sq_rel   | 0.038385  |
| rmse     | 1.15096   |
| rmse_log | 0.0366701 |
| log10    | 0.0102607 |
| silog    | 0.0364811 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_3.pth 
| d1       | 0.997243  |
| d2       | 0.999923  |
| d3       | 0.999994  |
| abs_rel  | 0.0235609 |
| sq_rel   | 0.0383926 |
| rmse     | 1.14759   |
| rmse_log | 0.0365913 |
| log10    | 0.0102145 |
| silog    | 0.0365014 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_9.pth 
| d1       | 0.997286  |
| d2       | 0.999923  |
| d3       | 0.999994  |
| abs_rel  | 0.0234901 |
| sq_rel   | 0.0382063 |
| rmse     | 1.14587   |
| rmse_log | 0.0365344 |
| log10    | 0.0101989 |
| silog    | 0.0363841 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_10.pth 
| d1       | 0.99726   |
| d2       | 0.999923  |
| d3       | 0.999994  |
| abs_rel  | 0.0234715 |
| sq_rel   | 0.0382631 |
| rmse     | 1.14515   |
| rmse_log | 0.0364976 |
| log10    | 0.0101776 |
| silog    | 0.0364059 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_12.pth 
| d1       | 0.997258  |
| d2       | 0.999923  |
| d3       | 0.999994  |
| abs_rel  | 0.0234204 |
| sq_rel   | 0.0382404 |
| rmse     | 1.14464   |
| rmse_log | 0.0364437 |
| log10    | 0.0101499 |
| silog    | 0.0363626 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_13.pth 
| d1       | 0.997266  |
| d2       | 0.999923  |
| d3       | 0.999994  |
| abs_rel  | 0.0233606 |
| sq_rel   | 0.0380573 |
| rmse     | 1.14309   |
| rmse_log | 0.0364006 |
| log10    | 0.0101333 |
| silog    | 0.0362796 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_14.pth 
| d1       | 0.997266  |
| d2       | 0.999923  |
| d3       | 0.999994  |
| abs_rel  | 0.0233441 |
| sq_rel   | 0.0379551 |
| rmse     | 1.14266   |
| rmse_log | 0.0363994 |
| log10    | 0.010137  |
| silog    | 0.0362255 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_17.pth 
| d1       | 0.997278  |
| d2       | 0.999923  |
| d3       | 0.999994  |
| abs_rel  | 0.0233955 |
| sq_rel   | 0.0380016 |
| rmse     | 1.14217   |
| rmse_log | 0.0364222 |
| log10    | 0.0101581 |
| silog    | 0.0362589 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_18.pth 
| d1       | 0.997278  |
| d2       | 0.999923  |
| d3       | 0.999994  |
| abs_rel  | 0.0234028 |
| sq_rel   | 0.038067  |
| rmse     | 1.14208   |
| rmse_log | 0.0364127 |
| log10    | 0.0101529 |
| silog    | 0.0362908 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_19.pth 
| d1       | 0.997278  |
| d2       | 0.999923  |
| d3       | 0.999994  |
| abs_rel  | 0.0233848 |
| sq_rel   | 0.0380848 |
| rmse     | 1.14201   |
| rmse_log | 0.0363872 |
| log10    | 0.0101399 |
| silog    | 0.0362891 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_20.pth 
| d1       | 0.997278  |
| d2       | 0.999923  |
| d3       | 0.999994  |
| abs_rel  | 0.023325  |
| sq_rel   | 0.037987  |
| rmse     | 1.14113   |
| rmse_log | 0.0363322 |
| log10    | 0.0101145 |
| silog    | 0.0362348 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_21.pth 
| d1       | 0.997286  |
| d2       | 0.999923  |
| d3       | 0.999994  |
| abs_rel  | 0.0232488 |
| sq_rel   | 0.0378289 |
| rmse     | 1.13999   |
| rmse_log | 0.0362701 |
| log10    | 0.0100865 |
| silog    | 0.0361536 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_22.pth 
| d1       | 0.997292  |
| d2       | 0.99993   |
| d3       | 0.999994  |
| abs_rel  | 0.0231992 |
| sq_rel   | 0.0377172 |
| rmse     | 1.13954   |
| rmse_log | 0.0362359 |
| log10    | 0.0100714 |
| silog    | 0.0360901 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_23.pth 
| d1       | 0.997285  |
| d2       | 0.99993   |
| d3       | 0.999994  |
| abs_rel  | 0.0231878 |
| sq_rel   | 0.0376796 |
| rmse     | 1.1395    |
| rmse_log | 0.0362312 |
| log10    | 0.0100705 |
| silog    | 0.0360626 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_24.pth 
| d1       | 0.997278  |
| d2       | 0.99993   |
| d3       | 0.999994  |
| abs_rel  | 0.0231997 |
| sq_rel   | 0.0376865 |
| rmse     | 1.13919   |
| rmse_log | 0.0362369 |
| log10    | 0.0100755 |
| silog    | 0.0360654 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_25.pth 
| d1       | 0.997277  |
| d2       | 0.99993   |
| d3       | 0.999994  |
| abs_rel  | 0.0232251 |
| sq_rel   | 0.0377272 |
| rmse     | 1.13883   |
| rmse_log | 0.0362469 |
| log10    | 0.0100827 |
| silog    | 0.0360914 |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_26.pth 
| d1       | 0.997281  |
| d2       | 0.999923  |
| d3       | 0.999994  |
