| network_model                | AuxSparseGuidedDepth                                   |
| pretrained                   | True                                                   |
| message                      | Overfiting refinement model with fixed model on kitti4 |
| mode                         | train                                                  |
| dataset                      | kitti                                                  |
| workers                      | 4                                                      |
| epochs                       | 100                                                    |
| criterion                    | l2                                                     |
| batch_size                   | 4                                                      |
| learning_rate                | 0.001                                                  |
| weight_decay                 | 0                                                      |
| print_freq                   | 10                                                     |
| resume                       |                                                        |
| data_folder                  | /datasets                                              |
| convolutional_layer_encoding | xyz                                                    |
| dilation_rate                | 2                                                      |
| val_h                        | 352                                                    |
| val_w                        | 608                                                    |
| train_height                 | 352                                                    |
| train_width                  | 608                                                    |
| min_depth_eval               | 0.1                                                    |
| max_depth_eval               | 80.0                                                   |
| kitti_crop                   | eigen_crop                                             |
| train_datalist               | 4batch_dim_kitti.list                                  |
| val_datalist                 | 4batch_dim_kitti.list                                  |
| root_folder                  | data/kitti_dataset/val_selection_cropped/              |
| torch_mode                   | pytorch                                                |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth                      |
| wandblogger                  | True                                                   |
| project                      | depthcompletionpaper                                   |
| entity                       | wandbdimar                                             |
| wandbrunname                 | KITTI_4_refinement_overfit                             |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_1.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_2.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_3.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_4.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_5.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_6.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_7.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_8.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_9.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_10.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_11.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_12.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_13.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_14.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_15.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_16.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_17.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_18.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_19.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_20.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_21.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_22.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_23.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
| rmse_log | 0.0342208  |
| log10    | 0.00942143 |
| silog    | 0.0340988  |

New model saved: weights/2022_07_06-10_16_42_AM/AuxSparseGuidedDepth_24.pth 
| d1       | 0.997507   |
| d2       | 0.999951   |
| d3       | 1          |
| abs_rel  | 0.0217043  |
| sq_rel   | 0.0344963  |
| rmse     | 1.09426    |
