| network_model                | AuxSparseGuidedDepth                                                       |
| pretrained                   | True                                                                       |
| message                      | basemodel trained on kitti, finetuned on my kitti further - initiallr 1-e5 |
| mode                         | train                                                                      |
| dataset                      | kitti                                                                      |
| workers                      | 4                                                                          |
| epochs                       | 100                                                                        |
| criterion                    | l2                                                                         |
| batch_size                   | 8                                                                          |
| learning_rate                | 1e-06                                                                      |
| weight_decay                 | 0                                                                          |
| print_freq                   | 10                                                                         |
| resume                       |                                                                            |
| data_folder                  | /datasets                                                                  |
| convolutional_layer_encoding | xyz                                                                        |
| dilation_rate                | 2                                                                          |
| val_h                        | 352                                                                        |
| val_w                        | 608                                                                        |
| train_height                 | 352                                                                        |
| train_width                  | 608                                                                        |
| min_depth_eval               | 0.1                                                                        |
| max_depth_eval               | 80.0                                                                       |
| kitti_crop                   | eigen_crop                                                                 |
| train_datalist               | train_dim_kitti.list                                                       |
| val_datalist                 | val_dim_kitti.list                                                         |
| root_folder                  | data/kitti_dataset/val_selection_cropped/                                  |
| torch_mode                   | pytorch                                                                    |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth                                          |
| wandblogger                  | True                                                                       |
| project                      | depthcompletionpaper                                                       |
| entity                       | wandbdimar                                                                 |
| wandbrunname                 | kitti_basemodel_finetune                                                   |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_1.pth 
| d1       | 0.772393  |
| d2       | 0.94026   |
| d3       | 0.982014  |
| abs_rel  | 0.183412  |
| sq_rel   | 1.58603   |
| rmse     | 5.70516   |
| rmse_log | 0.215836  |
| log10    | 0.0671671 |
| silog    | 0.195045  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_4.pth 
| d1       | 0.836936  |
| d2       | 0.966354  |
| d3       | 0.990747  |
| abs_rel  | 0.120751  |
| sq_rel   | 0.81794   |
| rmse     | 5.55126   |
| rmse_log | 0.180754  |
| log10    | 0.0550945 |
| silog    | 0.169631  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_5.pth 
| d1       | 0.882254  |
| d2       | 0.974467  |
| d3       | 0.992376  |
| abs_rel  | 0.112732  |
| sq_rel   | 0.717592  |
| rmse     | 4.34928   |
| rmse_log | 0.156083  |
| log10    | 0.0452757 |
| silog    | 0.150733  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_6.pth 
| d1       | 0.895033 |
| d2       | 0.977297 |
| d3       | 0.993133 |
| abs_rel  | 0.104069 |
| sq_rel   | 0.633595 |
| rmse     | 4.20892  |
| rmse_log | 0.149488 |
| log10    | 0.043145 |
| silog    | 0.145114 |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_7.pth 
| d1       | 0.898959  |
| d2       | 0.977311  |
| d3       | 0.992971  |
| abs_rel  | 0.104416  |
| sq_rel   | 0.648472  |
| rmse     | 4.10255   |
| rmse_log | 0.147863  |
| log10    | 0.0423546 |
| silog    | 0.143448  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_8.pth 
| d1       | 0.906423  |
| d2       | 0.979013  |
| d3       | 0.99349   |
| abs_rel  | 0.0991079 |
| sq_rel   | 0.588293  |
| rmse     | 4.02737   |
| rmse_log | 0.143929  |
| log10    | 0.0412237 |
| silog    | 0.139988  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_9.pth 
| d1       | 0.906704 |
| d2       | 0.978488 |
| d3       | 0.993251 |
| abs_rel  | 0.100783 |
| sq_rel   | 0.619542 |
| rmse     | 3.98827  |
| rmse_log | 0.143874 |
| log10    | 0.040915 |
| silog    | 0.13973  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_10.pth 
| d1       | 0.911682  |
| d2       | 0.980176  |
| d3       | 0.993871  |
| abs_rel  | 0.0960485 |
| sq_rel   | 0.55749   |
| rmse     | 3.9494    |
| rmse_log | 0.140813  |
| log10    | 0.040232  |
| silog    | 0.137007  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_21.pth 
| d1       | 0.910669  |
| d2       | 0.980522  |
| d3       | 0.994183  |
| abs_rel  | 0.0975055 |
| sq_rel   | 0.599367  |
| rmse     | 3.84284   |
| rmse_log | 0.138065  |
| log10    | 0.0388864 |
| silog    | 0.132904  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_22.pth 
| d1       | 0.921419  |
| d2       | 0.98368   |
| d3       | 0.995363  |
| abs_rel  | 0.0874348 |
| sq_rel   | 0.472222  |
| rmse     | 3.8117    |
| rmse_log | 0.131618  |
| log10    | 0.0374709 |
| silog    | 0.127892  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_23.pth 
| d1       | 0.917945  |
| d2       | 0.981731  |
| d3       | 0.994618  |
| abs_rel  | 0.0932596 |
| sq_rel   | 0.562987  |
| rmse     | 3.77808   |
| rmse_log | 0.134193  |
| log10    | 0.0375085 |
| silog    | 0.129878  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_25.pth 
| d1       | 0.919242  |
| d2       | 0.982204  |
| d3       | 0.994753  |
| abs_rel  | 0.0922797 |
| sq_rel   | 0.557535  |
| rmse     | 3.76141   |
| rmse_log | 0.133215  |
| log10    | 0.0371504 |
| silog    | 0.129039  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_27.pth 
| d1       | 0.919737  |
| d2       | 0.982413  |
| d3       | 0.994857  |
| abs_rel  | 0.0920558 |
| sq_rel   | 0.555091  |
