| network_model                | AuxSparseGuidedDepth                                      |
| pretrained                   | True                                                      |
| message                      | basemodel trained on kitti, finetune all- initial lr 1-e6 |
| mode                         | train                                                     |
| dataset                      | kitti                                                     |
| workers                      | 4                                                         |
| epochs                       | 100                                                       |
| criterion                    | l2                                                        |
| batch_size                   | 8                                                         |
| learning_rate                | 1e-06                                                     |
| weight_decay                 | 0                                                         |
| print_freq                   | 10                                                        |
| resume                       |                                                           |
| data_folder                  | /datasets                                                 |
| convolutional_layer_encoding | xyz                                                       |
| dilation_rate                | 2                                                         |
| val_h                        | 352                                                       |
| val_w                        | 608                                                       |
| train_height                 | 352                                                       |
| train_width                  | 608                                                       |
| min_depth_eval               | 0.1                                                       |
| max_depth_eval               | 80.0                                                      |
| kitti_crop                   | eigen_crop                                                |
| train_datalist               | train_dim_kitti.list                                      |
| val_datalist                 | val_dim_kitti.list                                        |
| root_folder                  | data/kitti_dataset/val_selection_cropped/                 |
| torch_mode                   | pytorch                                                   |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth                         |
| wandblogger                  | True                                                      |
| project                      | depthcompletionpaper                                      |
| entity                       | wandbdimar                                                |
| wandbrunname                 | kitti_full_finetune                                       |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_1.pth 
| d1       |  8.97192e-06 |
| d2       |  0.000165753 |
| d3       |  0.00223875  |
| abs_rel  |  0.744856    |
| sq_rel   | 11.3351      |
| rmse     | 18.1758      |
| rmse_log |  1.46297     |
| log10    |  0.617671    |
| silog    |  1.06239     |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_2.pth 
| d1       |  0.000161657 |
| d2       |  0.00229866  |
| d3       |  0.0142085   |
| abs_rel  |  0.702559    |
| sq_rel   | 10.146       |
| rmse     | 17.2418      |
| rmse_log |  1.3005      |
| log10    |  0.54788     |
| silog    |  0.946186    |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_3.pth 
| d1       |  0.00375422 |
| d2       |  0.0151768  |
| d3       |  0.0517643  |
| abs_rel  |  0.65133    |
| sq_rel   |  8.8144     |
| rmse     | 16.1248     |
| rmse_log |  1.14158    |
| log10    |  0.478083   |
| silog    |  0.834788   |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_4.pth 
| d1       |  0.0219514 |
| d2       |  0.0661174 |
| d3       |  0.181063  |
| abs_rel  |  0.574854  |
| sq_rel   |  7.06793   |
| rmse     | 14.5501    |
| rmse_log |  0.952969  |
| log10    |  0.392683  |
| silog    |  0.707318  |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_5.pth 
| d1       |  0.11103  |
| d2       |  0.28444  |
| d3       |  0.532627 |
| abs_rel  |  0.447153 |
| sq_rel   |  4.69292  |
| rmse     | 12.1248   |
| rmse_log |  0.699471 |
| log10    |  0.274552 |
| silog    |  0.548279 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_6.pth 
| d1       | 0.33738  |
| d2       | 0.599057 |
| d3       | 0.833722 |
| abs_rel  | 0.334694 |
| sq_rel   | 3.08392  |
| rmse     | 9.76505  |
| rmse_log | 0.474031 |
| log10    | 0.170739 |
| silog    | 0.426869 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_7.pth 
| d1       | 0.389505 |
| d2       | 0.688627 |
| d3       | 0.903609 |
| abs_rel  | 0.337279 |
| sq_rel   | 3.12972  |
| rmse     | 9.05432  |
| rmse_log | 0.41497  |
| log10    | 0.148041 |
| silog    | 0.398425 |

New model saved: weights/2022_07_11-06_54_39_PM/AuxSparseGuidedDepth_8.pth 
