| network_model                | GuideDepth                        |
| resolution                   | full                              |
| pretrained                   | True                              |
| augment                      | False                             |
| message                      |                                   |
| mode                         | train                             |
| dataset                      | nyuv2                             |
| workers                      | 4                                 |
| epochs                       | 100                               |
| criterion                    | l2                                |
| batch_size                   | 4                                 |
| learning_rate                | 0.001                             |
| weight_decay                 | 0                                 |
| print_freq                   | 10                                |
| resume                       |                                   |
| data_folder                  | /datasets                         |
| convolutional_layer_encoding | xyz                               |
| dilation_rate                | 2                                 |
| val_h                        | 352                               |
| val_w                        | 608                               |
| train_height                 | 352                               |
| train_width                  | 608                               |
| min_depth_eval               | 0.1                               |
| max_depth_eval               | 80.0                              |
| error_vis_min                | -5                                |
| error_vis_max                | 5                                 |
| training_subset              | 0                                 |
| show_sensor_error            | False                             |
| kitti_crop                   | eigen_crop                        |
| train_datalist               | nyu_4_overfit.list                |
| val_datalist                 | nyu_4_overfit.list                |
| root_folder                  | data/nyuv2_dataset/               |
| torch_mode                   | pytorch                           |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth |
| wandblogger                  | True                              |
| project                      | depthcompletionpaper              |
| entity                       | wandbdimar                        |
| wandbrunname                 | NYUoverGuideDepth                 |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_1.pth 
| d1       | 0.0654378 |
| d2       | 0.244164  |
| d3       | 0.406758  |
| abs_rel  | 0.498182  |
| sq_rel   | 2.02778   |
| rmse     | 4.44355   |
| rmse_log | 0.975671  |
| log10    | 0.344486  |
| silog    | 0.791096  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_13.pth 
| d1       | 0.610293 |
| d2       | 0.792844 |
| d3       | 0.907657 |
| abs_rel  | 0.230567 |
| sq_rel   | 1.13923  |
| rmse     | 4.02645  |
| rmse_log | 1.01336  |
| log10    | 0.182296 |
| silog    | 0.985532 |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_14.pth 
| d1       | 0.630939 |
| d2       | 0.804467 |
| d3       | 0.930068 |
| abs_rel  | 0.209509 |
| sq_rel   | 0.853253 |
| rmse     | 3.43361  |
| rmse_log | 0.724048 |
| log10    | 0.138472 |
| silog    | 0.704215 |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_15.pth 
| d1       | 0.652838 |
| d2       | 0.825729 |
| d3       | 0.947845 |
| abs_rel  | 0.191795 |
| sq_rel   | 0.687604 |
| rmse     | 3.08037  |
| rmse_log | 0.526617 |
| log10    | 0.112144 |
| silog    | 0.510382 |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_16.pth 
| d1       | 0.671956  |
| d2       | 0.851232  |
| d3       | 0.958202  |
| abs_rel  | 0.179715  |
| sq_rel   | 0.606497  |
| rmse     | 2.91034   |
| rmse_log | 0.392865  |
| log10    | 0.0975463 |
| silog    | 0.377449  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_17.pth 
| d1       | 0.683664  |
| d2       | 0.860588  |
| d3       | 0.961981  |
| abs_rel  | 0.173473  |
| sq_rel   | 0.592963  |
| rmse     | 2.88948   |
| rmse_log | 0.393997  |
| log10    | 0.0950348 |
| silog    | 0.378697  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_18.pth 
| d1       | 0.696986  |
| d2       | 0.86523   |
| d3       | 0.962958  |
| abs_rel  | 0.168138  |
| sq_rel   | 0.587589  |
| rmse     | 2.8885    |
| rmse_log | 0.399258  |
| log10    | 0.0932955 |
| silog    | 0.384803  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_19.pth 
| d1       | 0.717371  |
| d2       | 0.869159  |
| d3       | 0.963335  |
| abs_rel  | 0.162935  |
| sq_rel   | 0.581151  |
| rmse     | 2.88545   |
| rmse_log | 0.398031  |
| log10    | 0.0909204 |
| silog    | 0.384613  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_20.pth 
| d1       | 0.742279  |
| d2       | 0.873653  |
| d3       | 0.964143  |
| abs_rel  | 0.157788  |
| sq_rel   | 0.572768  |
| rmse     | 2.87756   |
| rmse_log | 0.391171  |
| log10    | 0.0879786 |
| silog    | 0.378776  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_21.pth 
| d1       | 0.753523  |
| d2       | 0.875982  |
| d3       | 0.964781  |
| abs_rel  | 0.153437  |
| sq_rel   | 0.56694   |
| rmse     | 2.8728    |
| rmse_log | 0.386828  |
| log10    | 0.0856103 |
| silog    | 0.375297  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_22.pth 
| d1       | 0.759032  |
| d2       | 0.876681  |
| d3       | 0.965393  |
| abs_rel  | 0.149913  |
| sq_rel   | 0.562781  |
| rmse     | 2.86962   |
| rmse_log | 0.38287   |
| log10    | 0.0836521 |
| silog    | 0.372148  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_23.pth 
| d1       | 0.763111  |
| d2       | 0.877743  |
| d3       | 0.966321  |
| abs_rel  | 0.146858  |
| sq_rel   | 0.557373  |
| rmse     | 2.86315   |
| rmse_log | 0.375113  |
| log10    | 0.0815105 |
| silog    | 0.365183  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_24.pth 
| d1       | 0.767109  |
| d2       | 0.878795  |
| d3       | 0.967218  |
| abs_rel  | 0.144239  |
| sq_rel   | 0.552145  |
| rmse     | 2.85633   |
| rmse_log | 0.367508  |
| log10    | 0.0796255 |
| silog    | 0.358165  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_25.pth 
| d1       | 0.770414  |
| d2       | 0.879755  |
| d3       | 0.968079  |
| abs_rel  | 0.142088  |
| sq_rel   | 0.547408  |
| rmse     | 2.85014   |
| rmse_log | 0.361656  |
| log10    | 0.0781788 |
| silog    | 0.352627  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_26.pth 
| d1       | 0.77295   |
| d2       | 0.880887  |
| d3       | 0.969224  |
| abs_rel  | 0.139781  |
| sq_rel   | 0.540418  |
| rmse     | 2.83982   |
| rmse_log | 0.35173   |
| log10    | 0.0763381 |
| silog    | 0.342889  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_27.pth 
| d1       | 0.775466  |
| d2       | 0.882163  |
| d3       | 0.970391  |
| abs_rel  | 0.137239  |
| sq_rel   | 0.532895  |
| rmse     | 2.82839   |
| rmse_log | 0.340224  |
| log10    | 0.0743159 |
| silog    | 0.331508  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_28.pth 
| d1       | 0.777871  |
| d2       | 0.883175  |
| d3       | 0.971427  |
| abs_rel  | 0.134887  |
| sq_rel   | 0.527358  |
| rmse     | 2.82069   |
| rmse_log | 0.332048  |
| log10    | 0.0726979 |
| silog    | 0.323409  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_29.pth 
| d1       | 0.780422  |
| d2       | 0.884352  |
| d3       | 0.972758  |
| abs_rel  | 0.132356  |
| sq_rel   | 0.520263  |
| rmse     | 2.80992   |
| rmse_log | 0.319476  |
| log10    | 0.0706864 |
| silog    | 0.31092   |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_30.pth 
| d1       | 0.782764  |
| d2       | 0.885702  |
| d3       | 0.97429   |
| abs_rel  | 0.129527  |
| sq_rel   | 0.5118    |
| rmse     | 2.79654   |
| rmse_log | 0.30241   |
| log10    | 0.0683151 |
| silog    | 0.293858  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_31.pth 
| d1       | 0.784814  |
| d2       | 0.886855  |
| d3       | 0.975695  |
| abs_rel  | 0.12692   |
| sq_rel   | 0.504929  |
| rmse     | 2.78593   |
| rmse_log | 0.287638  |
| log10    | 0.0663046 |
| silog    | 0.279019  |

